RA,FASE,TURMA,NOME,INSTITUICAO_ENSINO_ALUNO,PEDRA,INDE,REC_AVAL_1,REC_AVAL_2,REC_AVAL_3,REC_AVAL_4,REC_PSICO,NIVEL_IDEAL,DEFASAGEM,DESTAQUE_IEG,DESTAQUE_IDA,DESTAQUE_IPV,ANO_BASE,IDADE_ALUNO_MISSING,INDE_MISSING,CG_MISSING,CF_MISSING,CT_MISSING,QTDE_AVAL_MISSING,IAA_MISSING,IEG_MISSING,IPS_MISSING,IDA_MISSING,NOTA_MAT_MISSING,NOTA_PORT_MISSING,NOTA_ING_MISSING,IPV_MISSING,IPP_MISSING,INSTITUICAO_ENSINO_ALUNO_MISSING,PEDRA_MISSING,REC_AVAL_1_MISSING,REC_AVAL_2_MISSING,REC_AVAL_3_MISSING,REC_AVAL_4_MISSING,REC_PSICO_MISSING,DESTAQUE_IEG_MISSING,DESTAQUE_IDA_MISSING,DESTAQUE_IPV_MISSING,ALTO_INDE,CAT_IDADE_ALUNO,CAT_ANO_INGRESSO,CAT_CG,CAT_CF,CAT_CT,CAT_QTDE_AVAL,CAT_IAA,CAT_IEG,CAT_IPS,CAT_IDA,CAT_NOTA_MAT,CAT_NOTA_PORT,CAT_NOTA_ING,CAT_IPV,CAT_IAN,CAT_IPP,CAT_PEDRA_ORDINAL,CAT_NOTA_MEDIA,CAT_TEMPO_PM,DEFASADO
RA-17,7,D,Aluno-17,Escola Pública,Topázio,8.068,Promovido de Fase + Bolsa,Mantido na Fase atual,Mantido na Fase + Bolsa,Mantido na Fase atual,Não atendido,Fase 8 (Universitários),-1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,1,1,1,3,3,5,3,4,5,3,1,4,1,2,3,4,1,1
RA-18,7,D,Aluno-18,Escola Pública,Ametista,7.226,Promovido de Fase + Bolsa,Mantido na Fase atual,Promovido de Fase + Bolsa,Mantido na Fase atual,Requer avaliação,Fase 8 (Universitários),-1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,1,1,1,3,1,3,2,5,5,5,1,2,1,2,2,5,1,1
RA-19,7,D,Aluno-19,Escola Pública,Ametista,7.665,Promovido de Fase + Bolsa,Mantido na Fase atual,Promovido de Fase + Bolsa,Mantido na Fase atual,Sem limitações,Fase 8 (Universitários),-1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,1,1,1,3,2,4,3,4,4,5,1,2,1,2,2,4,1,1
RA-20,7,D,Aluno-20,Escola Pública,Ametista,7.535,Promovido de Fase + Bolsa,Mantido na Fase atual,Mantido na Fase + Bolsa,Mantido na Fase atual,Não atendido,Fase 8 (Universitários),-1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,1,1,1,3,1,5,2,4,5,3,1,2,1,2,2,4,1,1
RA-21,7,D,Aluno-21,Escola Pública,Ágata,6.945,Promovido de Fase + Bolsa,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não atendido,Fase 8 (Universitários),-1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,1,1,3,5,4,3,1,4,1,1,2,1,2,1,1,1,1
RA-22,6,A,Aluno-22,Rede Decisão,Ametista,7.474,Promovido de Fase,Promovido de Fase + Bolsa,Mantido na Fase + Bolsa,Promovido de Fase,Sem limitações,Fase 7 (3º EM),-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,1,1,2,3,2,2,5,3,5,1,2,5,1,2,2,3,3,1
RA-23,6,A,Aluno-23,Escola Pública,Ametista,7.677,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Sem limitações,Fase 7 (3º EM),-1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,1,1,2,3,2,2,5,3,4,1,2,5,1,2,2,3,1,1
RA-24,6,A,Aluno-24,Rede Decisão,Topázio,8.087,Promovido de Fase,Mantido na Fase atual,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Requer avaliação,Fase 7 (3º EM),-1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,1,1,1,3,4,2,3,5,5,2,2,5,1,2,3,5,1,1
RA-25,6,A,Aluno-25,Escola Pública,Ametista,7.979,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase,Promovido de Fase + Bolsa,Sem limitações,Fase 7 (3º EM),-1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,1,1,1,3,2,3,5,3,5,1,2,5,1,2,2,3,1,1
RA-26,6,A,Aluno-26,Escola Pública,Topázio,8.677,Promovido de Fase,Promovido de Fase + Bolsa,Mantido na Fase + Bolsa,Promovido de Fase + Bolsa,Sem limitações,Fase 7 (3º EM),-1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,1,1,1,3,5,3,5,4,5,1,2,5,1,2,3,5,1,1
RA-27,6,A,Aluno-27,Rede Decisão,Ametista,7.124,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Sem limitações,Fase 7 (3º EM),-1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,2,1,2,3,1,2,5,4,4,2,2,5,1,2,2,5,4,1
RA-28,6,A,Aluno-28,Escola Pública,Ágata,6.242,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Promovido de Fase,Requer avaliação,Fase 7 (3º EM),-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,1,2,3,2,1,3,2,4,1,1,1,1,2,1,1,3,1
RA-29,6,A,Aluno-29,Escola Pública,Quartzo,4.985,Promovido de Fase,Mantido na Fase + Bolsa,Mantido na Fase atual,Alocado em Fase anterior,Requer avaliação,Fase 7 (3º EM),-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,1,2,3,1,1,5,1,3,1,1,3,1,2,1,1,1,1
RA-30,6,A,Aluno-30,Escola Pública,Ametista,7.605,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,Promovido de Fase,Sem limitações,Fase 6 (2º EM),0,Melhorar: Melhorar a sua entrega de lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,1,1,2,3,3,1,3,4,5,1,2,2,2,2,2,4,1,0
RA-31,6,A,Aluno-31,Rede Decisão,Topázio,8.843,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Sem limitações,Fase 7 (3º EM),-1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,1,1,1,3,5,4,5,4,5,2,2,5,1,2,3,5,3,1
RA-32,6,A,Aluno-32,Rede Decisão,Ametista,7.37,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Promovido de Fase,Sem limitações,Fase 6 (2º EM),0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,1,1,2,3,3,1,5,2,2,1,2,4,2,2,2,2,4,0
RA-33,6,A,Aluno-33,Escola Pública,Quartzo,4.952,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Promovido de Fase,Sem limitações,Fase 7 (3º EM),-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,1,2,3,1,1,3,1,5,1,1,1,1,2,1,1,2,1
RA-34,6,A,Aluno-34,Rede Decisão,Ágata,6.259,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase,Promovido de Fase + Bolsa,Sem limitações,Fase 7 (3º EM),-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,1,2,3,5,1,5,1,2,1,1,2,1,2,1,1,4,1
RA-35,6,A,Aluno-35,Rede Decisão,Topázio,8.965,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Sem limitações,Fase 7 (3º EM),-1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,1,1,1,3,5,5,5,5,5,4,2,5,1,2,3,5,3,1
RA-36,6,A,Aluno-36,Rede Decisão,Ametista,7.876,Promovido de Fase,Promovido de Fase + Bolsa,Mantido na Fase + Bolsa,Promovido de Fase + Bolsa,Sem limitações,Fase 7 (3º EM),-1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,1,1,2,3,4,4,3,3,5,1,2,5,1,2,2,3,3,1
RA-37,6,A,Aluno-37,Rede Decisão,Quartzo,4.95,Promovido de Fase,Mantido na Fase atual,Mantido na Fase + Bolsa,Promovido de Fase,Sem limitações,Fase 7 (3º EM),-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,1,2,3,1,1,1,2,1,2,2,1,1,2,1,2,3,1
RA-38,6,A,Aluno-38,Rede Decisão,Topázio,8.523,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Não indicado,Fase 7 (3º EM),-1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,1,1,1,3,4,3,3,5,5,3,2,5,1,2,3,5,4,1
RA-39,6,A,Aluno-39,Rede Decisão,Ágata,6.033,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,Promovido de Fase,Requer avaliação,Fase 6 (2º EM),0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,1,2,3,1,1,3,3,4,2,2,1,2,2,1,3,4,0
RA-40,5,A,Aluno-40,Rede Decisão,Ametista,7.203,Promovido de Fase,Mantido na Fase atual,Promovido de Fase + Bolsa,DESCONHECIDO,Sem limitações,Fase 6 (2º EM),-1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,1,1,1,1,2,2,2,3,3,2,4,2,3,1,2,2,3,4,1
RA-41,5,A,Aluno-41,Escola Pública,Quartzo,5.581,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,DESCONHECIDO,Requer avaliação,Fase 7 (3º EM),-2,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,2,1,2,2,4,1,1,2,3,1,2,1,1,2,1,2,4,1
RA-42,5,A,Aluno-42,Rede Decisão,Ágata,6.72,Mantido na Fase atual,Mantido na Fase atual,Promovido de Fase,DESCONHECIDO,Requer avaliação,Fase 5 (1º EM),0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,2,1,1,2,2,2,2,1,1,1,1,1,2,2,1,1,3,0
RA-43,5,A,Aluno-43,Escola Pública,Quartzo,5.486,Mantido na Fase atual,Mantido na Fase atual,Alocado em Fase anterior,DESCONHECIDO,Requer avaliação,Fase 6 (2º EM),-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,2,1,2,2,1,1,2,1,1,2,1,1,1,2,1,1,3,1
RA-44,5,A,Aluno-44,Escola Pública,Quartzo,5.542,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase + Bolsa,DESCONHECIDO,Sem limitações,Fase 7 (3º EM),-2,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,2,1,2,2,1,1,3,1,1,1,1,2,1,2,1,1,1,1
RA-45,5,A,Aluno-45,Rede Decisão,Ametista,7.591,Promovido de Fase,Mantido na Fase atual,Promovido de Fase + Bolsa,DESCONHECIDO,Requer avaliação,Fase 5 (1º EM),0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,1,1,1,1,2,2,3,2,3,3,2,2,2,2,2,2,3,3,0
